Time,SD,SD_t,Mean,TMLE,Group
3,0.003616313,0.003653062,0.006716406,0.006716548,combodate_age1
4,0.004591309,0.00464517,0.009210779,0.009210662,combodate_age1
5,0.005255403,0.005326386,0.011283775,0.011283279,combodate_age1
6,0.005704331,0.005792546,0.013014983,0.013014033,combodate_age1
7,0.006001795,0.006107382,0.014466509,0.01446506,combodate_age1
8,0.006191578,0.006314668,0.015687432,0.01568546,combodate_age1
9,0.006304433,0.006445125,0.016716951,0.016714447,combodate_age1
10,0.006362285,0.00652063,0.017586663,0.017583629,combodate_age1
11,0.006380927,0.006556922,0.018322243,0.018318686,combodate_age1
12,0.006371821,0.006565405,0.018944706,0.018940639,combodate_age1
13,0.006343324,0.006554377,0.019471362,0.019466801,combodate_age1
14,0.006301543,0.006529894,0.019916556,0.019911518,combodate_age1
1,0,0,0,0,combodate_age2
2,0.052929688,0.053094651,-0.060521143,-0.06069157,combodate_age2
3,0.098546031,0.098859307,-0.112689973,-0.113010068,combodate_age2
4,0.137770304,0.138217633,-0.157556374,-0.158007945,combodate_age2
5,0.171407408,0.17197662,-0.196035462,-0.196602388,combodate_age2
6,0.200163868,0.200844711,-0.228933876,-0.229602188,combodate_age2
7,0.224657515,0.225441369,-0.256956889,-0.257714355,combodate_age2
8,0.24542885,0.246308524,-0.280721679,-0.281557578,combodate_age2
9,0.26295079,0.263920344,-0.300768458,-0.301673401,combodate_age2
10,0.27763713,0.278691727,-0.317570065,-0.31853583,combodate_age2
11,0.289849944,0.290985723,-0.331540356,-0.332559743,combodate_age2
12,0.299906058,0.301120022,-0.343041552,-0.344108254,combodate_age2
13,0.308082708,0.309372627,-0.352390677,-0.353499167,combodate_age2
14,0.314622492,0.315986814,-0.359865188,-0.361010623,combodate_age2
1,0,0,0,0,combodate_cao1
2,0.002059616,0.003577048,0.001669527,0.001631708,combodate_cao1
3,0.003824953,0.006784678,0.003124366,0.003040971,combodate_cao1
4,0.005330444,0.009664454,0.004386437,0.004250977,combodate_cao1
5,0.006606615,0.012253169,0.005475544,0.005282648,combodate_cao1
6,0.007680535,0.01458339,0.006409579,0.006154863,combodate_cao1
7,0.008576213,0.016683942,0.007204705,0.00688465,combodate_cao1
8,0.009314943,0.018580336,0.007875523,0.007487373,combodate_cao1
9,0.009915614,0.020295147,0.008435224,0.007976887,combodate_cao1
10,0.010394988,0.021848356,0.008895718,0.008365688,combodate_cao1
11,0.010767934,0.023257642,0.009267762,0.008665039,combodate_cao1
12,0.011047649,0.024538651,0.009561065,0.008885094,combodate_cao1
1,0,0,0,0,combodate_cao0
2,0.000758441,0.000919882,0.001073306,0.001069731,combodate_cao0
3,0.001286007,0.001609209,0.001956821,0.001949973,combodate_cao0
4,0.001656944,0.002139723,0.002686947,0.002677113,combodate_cao0
5,0.001916393,0.002555313,0.003291566,0.003279008,combodate_cao0
6,0.002094927,0.002885782,0.003792555,0.003777507,combodate_cao0
7,0.002214111,0.003152197,0.004207355,0.004190027,combodate_cao0
8,0.002289486,0.003369793,0.004550036,0.004530612,combodate_cao0
9,0.002332427,0.003549771,0.004832055,0.004810701,combodate_cao0
10,0.002351354,0.003700478,0.005062816,0.005039678,combodate_cao0
11,0.00235256,0.003828203,0.005250094,0.005225301,combodate_cao0
12,0.002340783,0.003937739,0.005400356,0.005374021,combodate_cao0
13,0.002319605,0.004032764,0.005519009,0.005491237,combodate_cao0
14,0.002291749,0.004116129,0.005610604,0.005581485,combodate_cao0
1,0,0,0,0,combodate_ant1
2,0.004034742,0.004136792,0.005735337,0.005761925,combodate_ant1
3,0.006689607,0.006857431,0.010420057,0.010467276,combodate_ant1
4,0.008501259,0.008716477,0.014275379,0.014338921,combodate_ant1
5,0.009739893,0.009991019,0.01746184,0.017538464,combodate_ant1
6,0.010575056,0.010853961,0.020101331,0.020188528,combodate_ant1
7,0.011121109,0.011421627,0.02228893,0.022384717,combodate_ant1
8,0.01145792,0.011775175,0.024100155,0.02420294,combodate_ant1
9,0.011642523,0.011972562,0.025595798,0.02570429,combodate_ant1
10,0.011716298,0.012055854,0.026825326,0.026938464,combodate_ant1
11,0.011709605,0.01205595,0.02782935,0.027946257,combodate_ant1
12,0.011644904,0.011995744,0.028641474,0.028761418,combodate_ant1
13,0.011538907,0.011892307,0.029289692,0.029412058,combodate_ant1
14,0.0114041,0.011758422,0.029797463,0.029921736,combodate_ant1
1,0,0,0,0,combodate_ant0
2,0.001015623,0.001422083,-0.001327806,-0.001342592,combodate_ant0
3,0.001727393,0.002576115,-0.002424609,-0.002453129,combodate_ant0
4,0.002242958,0.003555175,-0.003336766,-0.003378074,combodate_ant0
5,0.002622919,0.004411314,-0.004099199,-0.004152453,combodate_ant0
6,0.002905052,0.005176885,-0.004738819,-0.004803268,combodate_ant0
7,0.003114678,0.005873488,-0.00527674,-0.005351714,combodate_ant0
8,0.003269597,0.006516234,-0.005729766,-0.00581467,combodate_ant0
9,0.003382714,0.007116027,-0.006111433,-0.006205733,combodate_ant0
10,0.003463581,0.007680919,-0.006432754,-0.006535972,combodate_ant0
11,0.003519378,0.008216972,-0.006702767,-0.006814473,combodate_ant0
12,0.003555564,0.008728823,-0.006928945,-0.007048752,combodate_ant0
13,0.003576329,0.009220077,-0.007117513,-0.007245071,combodate_ant0
14,0.003584918,0.009693576,-0.007273684,-0.007408676,combodate_ant0
1,0,0,0,0,combodate
2,0.006370657,0.006373365,-0.005357321,-0.005358296,combodate
3,0.011487694,0.011492504,-0.010053611,-0.010055438,combodate
4,0.015700248,0.015706717,-0.0141843,-0.01418688,combodate
5,0.019210513,0.019218299,-0.017826512,-0.017829767,combodate
6,0.022159014,0.022167856,-0.021044042,-0.021047907,combodate
7,0.024650864,0.024660561,-0.023890465,-0.023894884,combodate
8,0.026767118,0.026777519,-0.026411255,-0.026416183,combodate
9,0.028571366,0.028582354,-0.02864532,-0.028650718,combodate
10,0.030114156,0.030125643,-0.030626164,-0.030631998,combodate
11,0.03143614,0.031448059,-0.03238279,-0.032389031,combodate
12,0.03257036,0.032582658,-0.033940421,-0.033947044,combodate
13,0.033543928,0.033556567,-0.035321081,-0.035328065,combodate
14,0.034379293,0.034392244,-0.036544072,-0.036551397,combodate
1,0,0,0,0,combine
2,0.001588816,0.001631484,0.002239629,0.002237701,combine
3,0.002669945,0.002757184,0.004075038,0.004071176,combine
4,0.003417484,0.003551121,0.005588286,0.005582535,combine
5,0.003934968,0.004116674,0.006841242,0.006833669,combine
6,0.004289617,0.004520873,0.007881598,0.007872283,combine
7,0.004527244,0.004809336,0.008746748,0.008735774,combine
8,0.004679992,0.005014002,0.009466401,0.009453852,combine
9,0.004770846,0.005157656,0.010064425,0.01005038,combine
10,0.004816473,0.005256769,0.010560175,0.010544711,combine
11,0.004829089,0.005323369,0.010969479,0.010952668,combine
12,0.00481772,0.005366304,0.011305375,0.011287286,combine
13,0.00478908,0.005392121,0.011578678,0.011559372,combine
14,0.004748183,0.005405683,0.011798411,0.011777947,combine
1,0,0,0,0,bleed
2,0.000884327,0.000889729,0.001410381,0.001409776,bleed
3,0.001628245,0.001639297,0.002655728,0.002654528,bleed
4,0.002264097,0.002281064,0.003755237,0.003753453,bleed
5,0.002811987,0.002835148,0.004725594,0.004723236,bleed
6,0.003285829,0.003315482,0.005581372,0.00557845,bleed
7,0.003696142,0.003732601,0.006335348,0.006331873,bleed
8,0.004051365,0.004094959,0.006998764,0.006994744,bleed
9,0.004358523,0.004409597,0.007581533,0.007576977,bleed
10,0.004623581,0.004682499,0.008092417,0.008087335,bleed
11,0.004851673,0.004918809,0.00853918,0.008533578,bleed
12,0.005047242,0.005122986,0.008928706,0.008922594,bleed
13,0.005214156,0.005298911,0.009267116,0.009260499,bleed
14,0.005355788,0.00544997,0.009559851,0.009552738,bleed
1,0,0,0,0,death
2,0.002356972,0.002397016,0.002314155,0.002321914,death
3,0.00411893,0.004188803,0.004330652,0.00434487,death
4,0.005485276,0.00557932,0.006099521,0.006119206,death
5,0.006564722,0.006679232,0.007658864,0.007683227,death
6,0.007426536,0.007558845,0.009038832,0.009067228,death
7,0.008118962,0.008267031,0.010263882,0.010295776,death
8,0.008677352,0.008839562,0.011354189,0.011389129,death
9,0.00912841,0.00930344,0.012326609,0.012364213,death
10,0.009492708,0.009679463,0.013195365,0.013235304,death
11,0.009786322,0.009983882,0.013972559,0.014014549,death
12,0.010021965,0.010229546,0.014668556,0.014712351,death
13,0.01020978,0.010426714,0.015292287,0.015337672,death
14,0.010357934,0.010583644,0.015851492,0.015898278,death
